time_bucket_fine,return_z_bucket,fair_up_prob,count,model,fallback_level,keys
0.0%..10.0%,-1..0,0.5118912813416846,142122,fine_time_return_z,1,time_bucket_fine+return_z_bucket
10.0%..20.0%,-1..0,0.5126477948817985,128599,fine_time_return_z,1,time_bucket_fine+return_z_bucket
20.0%..30.0%,-8..-4,0.04092641813563937,288,fine_time_return_z,1,time_bucket_fine+return_z_bucket
20.0%..30.0%,-4..-2,0.14525392140206222,4366,fine_time_return_z,1,time_bucket_fine+return_z_bucket
20.0%..30.0%,-2..-1,0.2867643148035315,15848,fine_time_return_z,1,time_bucket_fine+return_z_bucket
20.0%..30.0%,-1..0,0.43219798289054484,53929,fine_time_return_z,1,time_bucket_fine+return_z_bucket
20.0%..30.0%,0..1,0.6125885249247522,44143,fine_time_return_z,1,time_bucket_fine+return_z_bucket
20.0%..30.0%,1..2,0.7164025605593551,15272,fine_time_return_z,1,time_bucket_fine+return_z_bucket
20.0%..30.0%,2..4,0.759473795091011,4441,fine_time_return_z,1,time_bucket_fine+return_z_bucket
20.0%..30.0%,4..8,0.9801141417234179,588,fine_time_return_z,1,time_bucket_fine+return_z_bucket
30.0%..40.0%,-8..-4,0.09559678266011284,109,fine_time_return_z,1,time_bucket_fine+return_z_bucket
30.0%..40.0%,-4..-2,0.13868606335050465,3651,fine_time_return_z,1,time_bucket_fine+return_z_bucket
30.0%..40.0%,-2..-1,0.33783260415243327,13046,fine_time_return_z,1,time_bucket_fine+return_z_bucket
30.0%..40.0%,-1..0,0.4395603720333331,47629,fine_time_return_z,1,time_bucket_fine+return_z_bucket
30.0%..40.0%,0..1,0.6266344285757255,37716,fine_time_return_z,1,time_bucket_fine+return_z_bucket
30.0%..40.0%,1..2,0.6855147093008026,12380,fine_time_return_z,1,time_bucket_fine+return_z_bucket
30.0%..40.0%,2..4,0.6773261757233447,3053,fine_time_return_z,1,time_bucket_fine+return_z_bucket
30.0%..40.0%,4..8,0.9590938552901178,273,fine_time_return_z,1,time_bucket_fine+return_z_bucket
40.0%..50.0%,<= -8,0.2066124012331471,37,fine_time_return_z,1,time_bucket_fine+return_z_bucket
40.0%..50.0%,-8..-4,0.015814776390685334,785,fine_time_return_z,1,time_bucket_fine+return_z_bucket
40.0%..50.0%,-4..-2,0.0916932628854892,9123,fine_time_return_z,1,time_bucket_fine+return_z_bucket
40.0%..50.0%,-2..-1,0.23865999411671193,18863,fine_time_return_z,1,time_bucket_fine+return_z_bucket
40.0%..50.0%,-1..0,0.4506023612046413,42906,fine_time_return_z,1,time_bucket_fine+return_z_bucket
40.0%..50.0%,0..1,0.608914814559338,34817,fine_time_return_z,1,time_bucket_fine+return_z_bucket
40.0%..50.0%,1..2,0.7524814861452076,17126,fine_time_return_z,1,time_bucket_fine+return_z_bucket
40.0%..50.0%,2..4,0.8788422168098923,8189,fine_time_return_z,1,time_bucket_fine+return_z_bucket
40.0%..50.0%,4..8,0.985348520284201,807,fine_time_return_z,1,time_bucket_fine+return_z_bucket
40.0%..50.0%,> 8,0.8258566982350732,45,fine_time_return_z,1,time_bucket_fine+return_z_bucket
50.0%..60.0%,<= -8,0.24634555531644464,27,fine_time_return_z,1,time_bucket_fine+return_z_bucket
50.0%..60.0%,-8..-4,0.009609879127123121,1308,fine_time_return_z,1,time_bucket_fine+return_z_bucket
50.0%..60.0%,-4..-2,0.11909952207973039,7782,fine_time_return_z,1,time_bucket_fine+return_z_bucket
50.0%..60.0%,-2..-1,0.2367293237031709,16360,fine_time_return_z,1,time_bucket_fine+return_z_bucket
50.0%..60.0%,-1..0,0.4604893625414164,38944,fine_time_return_z,1,time_bucket_fine+return_z_bucket
50.0%..60.0%,0..1,0.5987561399051323,34376,fine_time_return_z,1,time_bucket_fine+return_z_bucket
50.0%..60.0%,1..2,0.7820925734809979,17107,fine_time_return_z,1,time_bucket_fine+return_z_bucket
50.0%..60.0%,2..4,0.8276486754970199,6869,fine_time_return_z,1,time_bucket_fine+return_z_bucket
50.0%..60.0%,4..8,0.98447129793179,760,fine_time_return_z,1,time_bucket_fine+return_z_bucket
60.0%..70.0%,-8..-4,0.01355552262058743,920,fine_time_return_z,1,time_bucket_fine+return_z_bucket
60.0%..70.0%,-4..-2,0.08457660330440185,11619,fine_time_return_z,1,time_bucket_fine+return_z_bucket
60.0%..70.0%,-2..-1,0.16573452337767,19668,fine_time_return_z,1,time_bucket_fine+return_z_bucket
60.0%..70.0%,-1..0,0.4297467373338407,40289,fine_time_return_z,1,time_bucket_fine+return_z_bucket
60.0%..70.0%,0..1,0.6442589223991286,32502,fine_time_return_z,1,time_bucket_fine+return_z_bucket
60.0%..70.0%,1..2,0.8160240022136076,22055,fine_time_return_z,1,time_bucket_fine+return_z_bucket
60.0%..70.0%,2..4,0.9327301718719316,9685,fine_time_return_z,1,time_bucket_fine+return_z_bucket
60.0%..70.0%,4..8,0.9910826399974068,1342,fine_time_return_z,1,time_bucket_fine+return_z_bucket
70.0%..80.0%,-8..-4,0.04726925784669787,246,fine_time_return_z,1,time_bucket_fine+return_z_bucket
70.0%..80.0%,-4..-2,0.13099495365375657,9493,fine_time_return_z,1,time_bucket_fine+return_z_bucket
70.0%..80.0%,-2..-1,0.16373438254659026,18626,fine_time_return_z,1,time_bucket_fine+return_z_bucket
70.0%..80.0%,-1..0,0.434973567625002,40646,fine_time_return_z,1,time_bucket_fine+return_z_bucket
70.0%..80.0%,0..1,0.658589607656566,32271,fine_time_return_z,1,time_bucket_fine+return_z_bucket
70.0%..80.0%,1..2,0.7888538835639877,20322,fine_time_return_z,1,time_bucket_fine+return_z_bucket
70.0%..80.0%,2..4,0.9090898257322854,7556,fine_time_return_z,1,time_bucket_fine+return_z_bucket
70.0%..80.0%,4..8,0.9862724874734855,863,fine_time_return_z,1,time_bucket_fine+return_z_bucket
80.0%..90.0%,-8..-4,0.010330620061657357,1215,fine_time_return_z,1,time_bucket_fine+return_z_bucket
80.0%..90.0%,-4..-2,0.041195161541941125,10894,fine_time_return_z,1,time_bucket_fine+return_z_bucket
80.0%..90.0%,-2..-1,0.1337938601402196,25909,fine_time_return_z,1,time_bucket_fine+return_z_bucket
80.0%..90.0%,-1..0,0.35228397768385544,46718,fine_time_return_z,1,time_bucket_fine+return_z_bucket
80.0%..90.0%,0..1,0.7775458644075114,39602,fine_time_return_z,1,time_bucket_fine+return_z_bucket
80.0%..90.0%,1..2,0.8617673108385007,21867,fine_time_return_z,1,time_bucket_fine+return_z_bucket
80.0%..90.0%,2..4,0.9393798079161688,11278,fine_time_return_z,1,time_bucket_fine+return_z_bucket
80.0%..90.0%,4..8,0.9836375421160473,720,fine_time_return_z,1,time_bucket_fine+return_z_bucket
90.0%..100.0%,-8..-4,0.02312268750262657,529,fine_time_return_z,1,time_bucket_fine+return_z_bucket
90.0%..100.0%,-4..-2,0.18784161253632087,6554,fine_time_return_z,1,time_bucket_fine+return_z_bucket
90.0%..100.0%,-2..-1,0.19809477294920078,27683,fine_time_return_z,1,time_bucket_fine+return_z_bucket
90.0%..100.0%,-1..0,0.37016527573178026,63384,fine_time_return_z,1,time_bucket_fine+return_z_bucket
90.0%..100.0%,0..1,0.7435040835492883,51883,fine_time_return_z,1,time_bucket_fine+return_z_bucket
90.0%..100.0%,1..2,0.8053344954077262,22322,fine_time_return_z,1,time_bucket_fine+return_z_bucket
90.0%..100.0%,2..4,0.8414706818695914,9066,fine_time_return_z,1,time_bucket_fine+return_z_bucket
90.0%..100.0%,4..8,0.8619088079677738,85,fine_time_return_z,1,time_bucket_fine+return_z_bucket
90.0%..100.0%,> 8,0.8258566982350732,45,fine_time_return_z,1,time_bucket_fine+return_z_bucket
